location_id,date,max_units,max_weight_kg,max_shipments
DC01,2025-12-19,3720,10365,28
DC01,2025-12-20,2471,8519,40
DC01,2025-12-21,4069,16262,47
DC01,2025-12-22,4487,14588,32
DC01,2025-12-23,2070,17398,36
DC01,2025-12-24,2126,12529,22
DC01,2025-12-25,2703,14757,50
DC01,2025-12-26,4123,14745,34
DC01,2025-12-27,3095,13716,57
DC01,2025-12-28,2204,13236,45
DC01,2025-12-29,3353,16354,20
DC02,2025-09-01,4403,10136,27
DC02,2025-09-02,2421,8824,59
DC02,2025-09-03,2688,16426,47
DC02,2025-09-04,4430,15562,49
DC02,2025-09-05,3109,9067,56
DC02,2025-09-06,3503,8750,22
DC02,2025-09-07,3310,16408,48
DC02,2025-09-08,2469,10200,50
DC02,2025-09-09,2556,10133,52
DC02,2025-09-10,3950,11636,20
DC02,2025-09-11,3269,10431,32
DC02,2025-09-12,3195,16490,29
DC02,2025-09-13,3140,15467,25
DC02,2025-09-14,4317,9606,30
DC02,2025-09-15,4401,17431,51
DC02,2025-09-16,3665,15980,28
DC02,2025-09-17,3359,10925,49
DC02,2025-09-18,4335,12000,33
DC02,2025-09-19,2757,15200,33
DC02,2025-09-20,2812,14252,20
DC02,2025-09-21,4446,16289,45
DC02,2025-09-22,3418,10825,40
DC02,2025-09-23,4327,14771,20
DC02,2025-09-24,2521,17823,26
DC02,2025-09-25,2982,14922,48
DC02,2025-09-26,2207,12082,27
DC02,2025-09-27,3599,17019,42
DC02,2025-09-28,4051,17085,37
DC02,2025-09-29,2705,17720,42
DC02,2025-09-30,3585,8311,50
DC02,2025-10-01,4292,15448,40
DC02,2025-10-02,3725,13050,50
DC02,2025-10-03,2322,15815,25
DC02,2025-10-04,2812,12163,48
DC02,2025-10-05,3067,17744,48
DC02,2025-10-06,2417,9522,23
DC02,2025-10-07,3696,15014,39
DC02,2025-10-08,2179,16972,23
DC02,2025-10-09,2280,9405,50
DC02,2025-10-10,3859,13273,57
DC02,2025-10-11,4298,9667,55
DC02,2025-10-12,4188,12122,44
DC02,2025-10-13,3746,17194,21
DC02,2025-10-14,2459,13058,35
DC02,2025-10-15,3764,11148,36
DC02,2025-10-16,3098,16817,57
DC02,2025-10-17,4080,9976,47
DC02,2025-10-18,2030,8100,39
DC02,2025-10-19,2759,17121,40
DC02,2025-10-20,4095,10817,21
DC02,2025-10-21,4338,14214,44
DC02,2025-10-22,2456,11595,43
DC02,2025-10-23,3413,10415,58
DC02,2025-10-24,3167,9767,27
DC02,2025-10-25,4164,10615,44
DC02,2025-10-26,2074,15060,36
DC02,2025-10-27,3186,14456,33
DC02,2025-10-28,4187,14654,45
DC02,2025-10-29,2023,16136,48
DC02,2025-10-30,2854,12233,20
DC02,2025-10-31,3586,8745,36
DC02,2025-11-01,3969,14104,35
DC02,2025-11-02,2999,12794,47
DC02,2025-11-03,3514,13532,58
DC02,2025-11-04,2766,15168,20
DC02,2025-11-05,2538,8746,35
DC02,2025-11-06,2186,9842,55
DC02,2025-11-07,3389,17902,56
DC02,2025-11-08,2181,14742,26
DC02,2025-11-09,2327,14226,43
DC02,2025-11-10,4313,16238,30
DC02,2025-11-11,3147,15651,31
DC02,2025-11-12,2516,17468,23
DC02,2025-11-13,4307,12908,50
DC02,2025-11-14,3269,15312,31
DC02,2025-11-15,2613,16472,31
DC02,2025-11-16,3074,16072,48
DC02,2025-11-17,3554,11096,37
DC02,2025-11-18,3603,8260,29
DC02,2025-11-19,4452,12122,46
DC02,2025-11-20,3462,15841,46
DC02,2025-11-21,3072,13406,51
DC02,2025-11-22,3962,9151,51
DC02,2025-11-23,3038,12319,33
DC02,2025-11-24,2882,9431,40
DC02,2025-11-25,2777,16709,42
DC02,2025-11-26,3595,13556,49
DC02,2025-11-27,4180,13093,56
DC02,2025-11-28,4083,16109,23
DC02,2025-11-29,2965,16167,39
DC02,2025-11-30,4009,8789,36
DC02,2025-12-01,3555,15554,54
DC02,2025-12-02,3038,10368,30
DC02,2025-12-03,3126,12881,22
DC02,2025-12-04,3528,11270,22
DC02,2025-12-05,4299,10399,40
DC02,2025-12-06,3824,8687,32
DC02,2025-12-07,2196,10900,22
DC02,2025-12-08,3105,15486,47
DC02,2025-12-09,2952,9684,30
DC02,2025-12-10,2212,12182,23
DC02,2025-12-11,2709,13519,57
DC02,2025-12-12,3759,15440,30
DC02,2025-12-13,3581,11619,30
DC02,2025-12-14,2498,12908,30
DC02,2025-12-15,3629,15887,23
DC02,2025-12-16,2691,16783,49
DC02,2025-12-17,3911,9897,22
DC02,2025-12-18,2731,13411,50
DC02,2025-12-19,3166,11347,28
DC02,2025-12-20,2345,8356,25
DC02,2025-12-21,3222,15730,38
DC02,2025-12-22,3827,17760,24
DC02,2025-12-23,3618,11820,26
DC02,2025-12-24,2879,9519,42
DC02,2025-12-25,4357,13592,29
DC02,2025-12-26,3278,13023,47
DC02,2025-12-27,3813,14348,56
DC02,2025-12-28,3966,17559,36
DC02,2025-12-29,2717,13911,48
DC03,2025-09-01,3284,10018,53
DC03,2025-09-02,3068,9052,42
DC03,2025-09-03,4357,11179,20
DC03,2025-09-04,4186,14687,38
DC03,2025-09-05,2830,16658,43
DC03,2025-09-06,3974,10680,41
DC03,2025-09-07,3961,14121,24
DC03,2025-09-08,4273,9974,48
DC03,2025-09-09,3867,17767,43
DC03,2025-09-10,2992,12514,25
DC03,2025-09-11,3828,12384,59
DC03,2025-09-12,3927,15684,20
DC03,2025-09-13,4364,13705,35
DC03,2025-09-14,3055,15529,36
DC03,2025-09-15,2422,12360,46
DC03,2025-09-16,2836,12744,57
DC03,2025-09-17,3591,16649,53
DC03,2025-09-18,2219,11939,38
DC03,2025-09-19,2132,11981,27
DC03,2025-09-20,2892,13865,24
DC03,2025-09-21,3401,12184,36
DC03,2025-09-22,3128,9351,50
DC03,2025-09-23,2377,11529,51
DC03,2025-09-24,2359,13536,21
DC03,2025-09-25,3062,10611,23
DC03,2025-09-26,2188,11651,59
DC03,2025-09-27,3122,11748,31
DC03,2025-09-28,3571,12513,50
DC03,2025-09-29,2377,10436,49
DC03,2025-09-30,2447,12141,21
DC03,2025-10-01,3321,12200,39
DC03,2025-10-02,3514,14829,59
DC03,2025-10-03,3903,10704,59
DC03,2025-10-04,2791,9269,30
DC03,2025-10-05,3284,9696,24
DC03,2025-10-06,2823,12495,41
DC03,2025-10-07,2478,9976,39
DC03,2025-10-08,2919,16027,20
DC03,2025-10-09,2888,15005,49
DC03,2025-10-10,2133,13119,44
DC03,2025-10-11,3838,16328,23
DC03,2025-10-12,4027,14788,50
DC03,2025-10-13,2623,10033,36
DC03,2025-10-14,3560,11626,23
DC03,2025-10-15,3062,15465,58
DC03,2025-10-16,2742,17347,23
DC03,2025-10-17,3590,13637,29
DC03,2025-10-18,2674,17357,54
DC03,2025-10-19,3974,17460,34
DC03,2025-10-20,2716,16820,40
DC03,2025-10-21,2722,8713,34
DC03,2025-10-22,3694,11673,53
DC03,2025-10-23,2512,8368,22
DC03,2025-10-24,2910,8599,22
DC03,2025-10-25,3983,9905,20
DC03,2025-10-26,2192,17831,42
DC03,2025-10-27,4324,13598,29
DC03,2025-10-28,3450,17319,34
DC03,2025-10-29,2693,8732,48
DC03,2025-10-30,3625,14810,31
DC03,2025-10-31,2047,12434,25
DC03,2025-11-01,2293,9914,33
DC03,2025-11-02,4430,8710,39
DC03,2025-11-03,2468,15159,28
DC03,2025-11-04,4441,9564,46
DC03,2025-11-05,2221,17229,26
DC03,2025-11-06,2074,9951,47
DC03,2025-11-07,2670,14448,52
DC03,2025-11-08,2704,9060,51
DC03,2025-11-09,4286,14125,40
DC03,2025-11-10,4147,11355,39
DC03,2025-11-11,3225,17553,23
DC03,2025-11-12,3035,17628,25
DC03,2025-11-13,2965,11112,22
DC03,2025-11-14,3045,17647,29
DC03,2025-11-15,4404,10560,29
DC03,2025-11-16,3357,10060,59
DC03,2025-11-17,4006,12658,26
DC03,2025-11-18,4239,12584,52
DC03,2025-11-19,3776,12324,51
DC03,2025-11-20,4367,8209,28
DC03,2025-11-21,2959,8674,33
DC03,2025-11-22,2715,15275,30
DC03,2025-11-23,2056,11711,37
DC03,2025-11-24,3877,16075,30
DC03,2025-11-25,2321,8228,41
DC03,2025-11-26,2936,8089,58
DC03,2025-11-27,3319,14492,40
DC03,2025-11-28,2219,10621,36
DC03,2025-11-29,4266,12469,57
DC03,2025-11-30,2700,9127,55
DC03,2025-12-01,3830,9873,33
DC03,2025-12-02,3829,12012,27
DC03,2025-12-03,3567,16692,56
DC03,2025-12-04,2160,13404,23
DC03,2025-12-05,4429,10574,53
DC03,2025-12-06,3403,8157,56
DC03,2025-12-07,4473,16140,21
DC03,2025-12-08,2689,16423,28
DC03,2025-12-09,2507,14435,46
DC03,2025-12-10,2659,14219,30
DC03,2025-12-11,3247,13352,58
DC03,2025-12-12,3505,17723,37
DC03,2025-12-13,2570,15464,31
DC03,2025-12-14,3127,9000,49
DC03,2025-12-15,2051,10085,47
DC03,2025-12-16,4388,14211,21
DC03,2025-12-17,4162,10755,54
DC03,2025-12-18,2531,11582,26
DC03,2025-12-19,3285,11198,22
DC03,2025-12-20,3539,13976,58
DC03,2025-12-21,3223,8090,48
DC03,2025-12-22,2117,12690,35
DC03,2025-12-23,3659,13836,37
DC03,2025-12-24,2342,17421,21
DC03,2025-12-25,2195,13423,32
DC03,2025-12-26,3478,17324,47
DC03,2025-12-27,3864,10127,58
DC03,2025-12-28,3529,15289,42
DC03,2025-12-29,3190,9911,47
DC04,2025-09-01,2391,15397,34
DC04,2025-09-02,2642,15944,28
DC04,2025-09-03,2023,15465,32
DC04,2025-09-04,4073,12652,36
DC04,2025-09-05,2940,15037,29
DC04,2025-09-06,2119,11421,52
DC04,2025-09-07,4460,15258,25
DC04,2025-09-08,2544,16702,41
DC04,2025-09-09,3461,15012,42
DC04,2025-09-10,4357,17365,56
DC04,2025-09-11,2956,12995,40
DC04,2025-09-12,3392,15069,26
DC04,2025-09-13,4459,10519,32
DC04,2025-09-14,3476,11918,56
DC04,2025-09-15,2815,15875,39
DC04,2025-09-16,3877,10463,43
DC04,2025-09-17,2314,17193,39
DC04,2025-09-18,3116,10411,37
DC04,2025-09-19,3397,17639,36
DC04,2025-09-20,2275,11062,45
DC04,2025-09-21,4296,12395,23
DC04,2025-09-22,2550,11970,48
DC04,2025-09-23,3936,9314,43
DC04,2025-09-24,3823,10846,58
DC04,2025-09-25,4444,13313,43
DC04,2025-09-26,3177,12826,20
DC04,2025-09-27,3286,13097,39
DC04,2025-09-28,2966,8042,47
DC04,2025-09-29,2919,14416,35
DC04,2025-09-30,3693,11355,42
DC04,2025-10-01,2106,9655,25
DC04,2025-10-02,2380,12172,42
DC04,2025-10-03,3874,10022,36
DC04,2025-10-04,3823,13326,28
DC04,2025-10-05,3223,14103,20
DC04,2025-10-06,2517,15152,25
DC04,2025-10-07,3475,11891,27
DC04,2025-10-08,4382,16616,49
DC04,2025-10-09,2427,10662,53
DC04,2025-10-10,2377,12996,31
DC04,2025-10-11,4202,17656,33
DC04,2025-10-12,2077,11255,28
DC04,2025-10-13,3138,16958,28
DC04,2025-10-14,3058,11396,43
DC04,2025-10-15,3558,16431,57
DC04,2025-10-16,2124,13785,30
DC04,2025-10-17,4062,13283,56
DC04,2025-10-18,3779,17450,35
DC04,2025-10-19,3182,13298,57
DC04,2025-10-20,2743,17746,32
DC04,2025-10-21,2452,16220,28
DC04,2025-10-22,2673,13853,44
DC04,2025-10-23,2720,13927,26
DC04,2025-10-24,4298,17037,54
DC04,2025-10-25,3467,11387,53
DC04,2025-10-26,2914,12462,42
DC04,2025-10-27,2676,12006,29
DC04,2025-10-28,2953,11866,37
DC04,2025-10-29,2088,10466,20
DC04,2025-10-30,2404,10460,34
DC04,2025-10-31,4295,17768,54
DC04,2025-11-01,2302,12239,46
DC04,2025-11-02,3961,9714,43
DC04,2025-11-03,4070,16434,55
DC04,2025-11-04,2458,8143,36
DC04,2025-11-05,3648,10660,58
DC04,2025-11-06,3299,14189,54
DC04,2025-11-07,3216,17205,41
DC04,2025-11-08,2099,10370,55
DC04,2025-11-09,2378,15699,24
DC04,2025-11-10,3145,14548,25
DC04,2025-11-11,4345,16773,58
DC04,2025-11-12,3586,8758,51
DC04,2025-11-13,4378,16143,31
DC04,2025-11-14,3297,11531,30
DC04,2025-11-15,2551,16165,36
DC04,2025-11-16,2169,15593,37
DC04,2025-11-17,3851,17517,39
DC04,2025-11-18,3134,15205,23
DC04,2025-11-19,2159,10049,45
DC04,2025-11-20,2977,13278,52
DC04,2025-11-21,4497,13163,55
DC04,2025-11-22,4483,8955,33
DC04,2025-11-23,2213,9036,40
DC04,2025-11-24,4410,15695,23
DC04,2025-11-25,3139,12222,25
DC04,2025-11-26,3921,15437,29
DC04,2025-11-27,3467,16923,57
DC04,2025-11-28,3262,15781,41
DC04,2025-11-29,3242,12312,32
DC04,2025-11-30,3735,8056,35
DC04,2025-12-01,2022,14588,54
DC04,2025-12-02,3182,10808,40
DC04,2025-12-03,3709,16440,33
DC04,2025-12-04,3784,14972,23
DC04,2025-12-05,2666,16583,59
DC04,2025-12-06,3569,13935,44
DC04,2025-12-07,3837,17056,34
DC04,2025-12-08,2092,14690,56
DC04,2025-12-09,3824,9268,31
DC04,2025-12-10,2298,10293,38
DC04,2025-12-11,3277,16510,23
DC04,2025-12-12,4433,16551,31
DC04,2025-12-13,2957,17718,54
DC04,2025-12-14,4447,14639,23
DC04,2025-12-15,3932,13463,57
DC04,2025-12-16,2395,13877,34
DC04,2025-12-17,3959,14383,44
DC04,2025-12-18,3419,8396,56
DC04,2025-12-19,4476,16706,39
DC04,2025-12-20,3537,12428,20
DC04,2025-12-21,4267,16674,28
DC04,2025-12-22,3342,16600,57
DC04,2025-12-23,3549,12399,44
DC04,2025-12-24,3910,8378,25
DC04,2025-12-25,4463,9510,56
DC04,2025-12-26,2268,16960,57
DC04,2025-12-27,3307,11567,41
DC04,2025-12-28,2179,13940,29
DC04,2025-12-29,4118,10496,32
DC05,2025-09-01,2268,11609,35
DC05,2025-09-02,2430,10573,39
DC05,2025-09-03,2074,16869,51
DC05,2025-09-04,2167,17049,53
DC05,2025-09-05,2138,10227,42
DC05,2025-09-06,2588,8841,44
DC05,2025-09-07,4393,8862,25
DC05,2025-09-08,2667,16039,41
DC05,2025-09-09,2180,8615,36
DC05,2025-09-10,4350,8433,26
DC05,2025-09-11,3015,11107,53
DC05,2025-09-12,4371,10531,56
DC05,2025-09-13,3013,12320,29
DC05,2025-09-14,2112,9031,46
DC05,2025-09-15,2828,11567,50
DC05,2025-09-16,2704,11171,29
DC05,2025-09-17,2322,10850,54
DC05,2025-09-18,2414,17453,40
DC05,2025-09-19,4002,13545,32
DC05,2025-09-20,4164,15997,46
DC05,2025-09-21,2048,12198,46
DC05,2025-09-22,2044,15090,24
DC05,2025-09-23,2071,11215,58
DC05,2025-09-24,2371,16981,55
DC05,2025-09-25,4170,9889,29
DC05,2025-09-26,2904,17680,28
DC05,2025-09-27,3549,16740,26
DC05,2025-09-28,2239,9326,34
DC05,2025-09-29,2804,14925,52
DC05,2025-09-30,2029,9398,55
DC05,2025-10-01,2892,10725,45
DC05,2025-10-02,3548,8597,25
DC05,2025-10-03,2211,17861,45
DC05,2025-10-04,4421,12177,28
DC05,2025-10-05,4258,15281,59
DC05,2025-10-06,3607,16698,44
DC05,2025-10-07,2700,9361,26
DC05,2025-10-08,3687,17574,55
DC05,2025-10-09,2909,13963,35
DC05,2025-10-10,2422,13771,34
DC05,2025-10-11,4393,16356,51
DC05,2025-10-12,3567,12342,37
DC05,2025-10-13,3976,11591,35
DC05,2025-10-14,4082,13239,34
DC05,2025-10-15,2423,10378,59
DC05,2025-10-16,4054,8714,30
DC05,2025-10-17,3101,13946,38
DC05,2025-10-18,4289,17206,32
DC05,2025-10-19,4162,11071,27
DC05,2025-10-20,3876,13877,35
DC05,2025-10-21,4075,13432,56
DC05,2025-10-22,4378,17638,42
DC05,2025-10-23,4431,9316,58
DC05,2025-10-24,2978,11792,39
DC05,2025-10-25,2140,13319,35
DC05,2025-10-26,4070,17697,54
DC05,2025-10-27,3543,13751,31
DC05,2025-10-28,2559,16235,40
DC05,2025-10-29,3653,8329,30
DC05,2025-10-30,3992,8104,35
DC05,2025-10-31,3433,15451,28
DC05,2025-11-01,4152,11826,39
DC05,2025-11-02,3854,13010,31
DC05,2025-11-03,2561,11020,25
DC05,2025-11-04,2603,12368,30
DC05,2025-11-05,4000,14083,53
DC05,2025-11-06,3206,9653,45
DC05,2025-11-07,3260,8988,27
DC05,2025-11-08,3517,16051,52
DC05,2025-11-09,2805,12841,23
DC05,2025-11-10,3864,10787,39
DC05,2025-11-11,4043,10496,58
DC05,2025-11-12,3785,11474,30
DC05,2025-11-13,4332,15855,59
DC05,2025-11-14,3069,17404,31
DC05,2025-11-15,2873,8268,35
DC05,2025-11-16,3156,9889,39
DC05,2025-11-17,2329,9909,51
DC05,2025-11-18,3292,12987,27
DC05,2025-11-19,2124,10740,23
DC05,2025-11-20,2739,8940,55
DC05,2025-11-21,3855,17351,24
DC05,2025-11-22,2200,9231,52
DC05,2025-11-23,2959,17149,29
DC05,2025-11-24,3734,16334,45
DC05,2025-11-25,2830,11364,23
DC05,2025-11-26,2596,11182,58
DC05,2025-11-27,3395,9583,22
DC05,2025-11-28,2872,16083,29
DC05,2025-11-29,4270,11938,39
DC05,2025-11-30,3880,17662,27
DC05,2025-12-01,2519,13177,59
DC05,2025-12-02,3494,14031,37
DC05,2025-12-03,4098,11349,49
DC05,2025-12-04,3062,14949,24
DC05,2025-12-05,3902,17595,38
DC05,2025-12-06,2145,13783,37
DC05,2025-12-07,2551,14193,59
DC05,2025-12-08,3662,17982,25
DC05,2025-12-09,4000,13086,46
DC05,2025-12-10,2212,16934,35
DC05,2025-12-11,2144,14932,25
DC05,2025-12-12,3633,8376,42
DC05,2025-12-13,2560,12845,59
DC05,2025-12-14,3386,14933,38
DC05,2025-12-15,4003,12380,45
DC05,2025-12-16,2429,11711,30
DC05,2025-12-17,4288,9639,42
DC05,2025-12-18,4132,15311,33
DC05,2025-12-19,2282,8554,21
DC05,2025-12-20,3466,9419,37
DC05,2025-12-21,3540,13239,43
DC05,2025-12-22,2336,16151,26
DC05,2025-12-23,3472,10896,56
DC05,2025-12-24,3746,16934,44
DC05,2025-12-25,2660,11768,49
DC05,2025-12-26,2255,16449,57
DC05,2025-12-27,3885,10233,57
DC05,2025-12-28,4206,15801,51
DC05,2025-12-29,3618,10902,37
