location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
DC02,SKU0027,67,21,40,14.27,2025-11-05
DC02,SKU0028,54,24,59,4.89,2025-12-12
DC02,SKU0029,63,24,55,12.57,2025-12-27
DC02,SKU0030,61,25,51,4.65,2025-09-17
DC02,SKU0031,43,26,46,10.24,2025-11-27
DC02,SKU0032,53,22,54,1.53,2025-12-08
DC02,SKU0033,71,22,36,6.58,2025-12-08
DC02,SKU0034,65,14,51,1.19,2025-11-10
DC02,SKU0035,65,16,48,11.66,2025-11-07
DC02,SKU0036,64,19,21,14.27,2025-11-01
DC02,SKU0037,66,11,58,10.88,2025-11-28
DC02,SKU0038,62,20,54,14.85,2025-12-11
DC02,SKU0039,52,29,67,12.13,2025-09-10
DC02,SKU0040,59,25,50,5.04,2025-09-22
DC02,SKU0041,73,26,26,2.0,2025-09-17
DC02,SKU0042,51,14,42,14.79,2025-09-29
DC02,SKU0043,58,21,44,8.17,2025-09-08
DC02,SKU0044,64,28,34,8.82,2025-10-13
DC02,SKU0045,62,21,21,5.86,2025-11-18
DC02,SKU0046,70,20,37,2.67,2025-09-19
DC02,SKU0047,56,18,26,12.44,2025-11-03
DC02,SKU0048,64,24,68,13.67,2025-09-01
DC02,SKU0049,62,25,24,4.76,2025-12-29
DC02,SKU0050,51,13,55,10.92,2025-10-12
DC02,SKU0051,57,17,62,14.67,2025-09-12
DC02,SKU0052,56,13,66,1.81,2025-10-19
DC02,SKU0053,46,15,35,2.6,2025-12-04
DC02,SKU0054,59,19,38,10.19,2025-11-29
DC02,SKU0055,53,16,29,11.27,2025-12-06
DC02,SKU0056,68,15,49,5.1,2025-10-20
DC02,SKU0057,56,10,28,1.24,2025-12-02
DC02,SKU0058,67,29,56,2.11,2025-11-29
DC02,SKU0059,63,26,55,5.41,2025-11-15
DC02,SKU0060,68,19,35,14.62,2025-12-17
DC02,SKU0061,60,24,52,5.25,2025-10-25
DC02,SKU0062,64,29,48,8.88,2025-11-03
DC02,SKU0063,52,10,60,7.43,2025-12-25
DC02,SKU0064,62,28,47,5.59,2025-10-28
DC02,SKU0065,59,22,61,8.87,2025-10-09
DC02,SKU0066,50,10,47,14.75,2025-12-14
DC02,SKU0067,76,10,64,3.67,2025-11-24
DC02,SKU0068,48,24,53,10.27,2025-09-20
DC02,SKU0069,68,17,30,7.45,2025-10-21
DC02,SKU0070,57,14,27,10.45,2025-10-01
DC02,SKU0071,56,26,69,10.37,2025-11-06
DC02,SKU0072,60,20,33,2.17,2025-09-24
DC02,SKU0073,59,22,27,14.41,2025-12-15
DC02,SKU0074,50,28,50,11.86,2025-09-08
DC02,SKU0075,67,20,43,9.58,2025-09-14
DC02,SKU0076,64,20,63,9.96,2025-09-27
DC02,SKU0077,72,17,48,5.05,2025-09-01
DC02,SKU0078,72,13,59,4.93,2025-10-23
DC02,SKU0079,49,14,63,2.45,2025-11-28
DC02,SKU0080,55,11,23,14.35,2025-09-18
DC03,SKU0001,66,15,53,5.02,2025-11-06
DC03,SKU0002,54,23,62,9.7,2025-10-24
DC03,SKU0003,55,20,52,3.04,2025-09-08
DC03,SKU0004,62,10,53,9.2,2025-11-06
DC03,SKU0005,55,20,47,7.59,2025-11-07
DC03,SKU0006,58,18,36,11.61,2025-11-04
DC03,SKU0007,58,14,55,2.42,2025-11-04
DC03,SKU0008,65,26,51,8.73,2025-11-19
DC03,SKU0009,72,14,28,5.02,2025-09-11
DC03,SKU0010,62,17,25,1.85,2025-10-23
DC03,SKU0011,52,19,57,5.99,2025-11-09
DC03,SKU0012,61,16,55,11.18,2025-11-02
DC03,SKU0013,62,28,43,2.53,2025-12-19
DC03,SKU0014,52,28,63,2.42,2025-11-23
DC03,SKU0015,66,29,52,14.04,2025-12-16
DC03,SKU0016,67,17,28,11.91,2025-11-22
DC03,SKU0017,60,29,38,6.24,2025-10-20
DC03,SKU0018,55,14,50,2.78,2025-11-22
DC03,SKU0019,54,24,61,2.24,2025-12-05
DC03,SKU0020,49,18,60,14.22,2025-10-06
DC03,SKU0021,70,25,32,12.71,2025-11-15
DC03,SKU0022,63,22,47,7.18,2025-09-17
DC03,SKU0023,68,13,44,6.54,2025-12-23
DC03,SKU0024,70,11,32,11.58,2025-11-09
DC03,SKU0025,55,25,61,10.75,2025-11-05
DC03,SKU0026,62,25,39,1.41,2025-09-06
DC03,SKU0027,60,16,55,11.6,2025-09-07
DC03,SKU0028,59,15,35,6.66,2025-12-06
DC03,SKU0029,58,28,24,7.49,2025-12-01
DC03,SKU0030,60,11,26,3.17,2025-12-28
DC03,SKU0031,53,15,61,8.59,2025-12-29
DC03,SKU0032,65,10,40,3.53,2025-11-19
DC03,SKU0033,64,23,64,6.88,2025-12-10
DC03,SKU0034,66,15,63,8.08,2025-12-14
DC03,SKU0035,52,23,30,6.8,2025-12-24
DC03,SKU0036,69,11,56,6.87,2025-09-04
DC03,SKU0037,43,29,28,5.43,2025-10-01
DC03,SKU0038,49,10,69,12.15,2025-11-23
DC03,SKU0039,54,27,37,7.05,2025-10-31
DC03,SKU0040,55,28,40,2.48,2025-12-05
DC03,SKU0041,62,27,31,11.53,2025-10-27
DC03,SKU0042,57,10,49,6.51,2025-09-24
DC03,SKU0043,67,27,54,10.58,2025-11-13
DC03,SKU0044,50,27,21,14.87,2025-11-13
DC03,SKU0045,51,22,44,6.53,2025-11-20
DC03,SKU0046,63,10,46,13.99,2025-12-23
DC03,SKU0047,71,19,63,13.4,2025-12-01
DC03,SKU0048,55,10,31,4.03,2025-11-12
DC03,SKU0049,65,28,64,1.32,2025-10-11
DC03,SKU0050,66,13,59,3.28,2025-09-30
DC03,SKU0051,51,25,35,9.41,2025-11-14
DC03,SKU0052,67,16,49,12.81,2025-10-15
DC03,SKU0053,53,25,20,6.75,2025-10-18
DC03,SKU0054,48,26,42,4.9,2025-10-29
DC03,SKU0055,61,19,45,11.77,2025-12-03
DC03,SKU0056,49,16,66,7.73,2025-11-09
DC03,SKU0057,42,25,24,13.17,2025-09-03
DC03,SKU0058,55,10,46,4.79,2025-12-17
DC03,SKU0059,73,29,68,2.22,2025-09-06
DC03,SKU0060,58,15,23,3.3,2025-11-30
DC03,SKU0061,37,12,59,1.22,2025-09-14
DC03,SKU0062,68,15,52,11.17,2025-11-21
DC03,SKU0063,71,10,58,7.69,2025-10-08
DC03,SKU0064,59,20,45,3.04,2025-10-20
DC03,SKU0065,55,27,53,9.11,2025-12-25
DC03,SKU0066,66,21,37,8.52,2025-10-11
DC03,SKU0067,66,23,27,1.13,2025-11-18
DC03,SKU0068,68,22,21,1.23,2025-12-17
DC03,SKU0069,64,17,55,4.5,2025-11-06
DC03,SKU0070,40,21,56,13.85,2025-11-28
DC03,SKU0071,62,13,23,2.33,2025-12-26
DC03,SKU0072,67,18,29,14.68,2025-10-22
DC03,SKU0073,69,25,39,7.17,2025-12-19
DC03,SKU0074,59,16,60,13.32,2025-09-20
DC03,SKU0075,51,23,29,10.33,2025-10-11
DC03,SKU0076,68,12,64,6.61,2025-12-09
DC03,SKU0077,62,18,35,10.63,2025-11-28
DC03,SKU0078,68,26,69,6.64,2025-11-25
DC03,SKU0079,55,11,42,5.33,2025-11-05
DC03,SKU0080,58,10,53,8.59,2025-12-02
DC04,SKU0001,65,29,34,14.66,2025-10-04
DC04,SKU0002,76,17,54,6.46,2025-11-02
DC04,SKU0003,65,20,52,9.06,2025-12-10
DC04,SKU0004,63,22,20,3.55,2025-12-16
DC04,SKU0005,58,13,41,5.94,2025-10-06
DC04,SKU0006,63,16,56,1.14,2025-11-28
DC04,SKU0007,47,26,29,14.16,2025-09-29
DC04,SKU0008,56,13,61,1.18,2025-09-07
DC04,SKU0009,61,12,46,11.7,2025-10-06
DC04,SKU0010,65,12,31,10.89,2025-11-20
DC04,SKU0011,57,11,43,14.96,2025-12-29
DC04,SKU0012,70,29,22,7.11,2025-11-06
DC04,SKU0013,51,19,69,9.31,2025-10-25
DC04,SKU0014,71,28,24,1.83,2025-09-22
DC04,SKU0015,68,20,54,3.43,2025-11-16
DC04,SKU0016,61,15,32,14.55,2025-09-25
DC04,SKU0017,58,14,28,9.77,2025-12-21
DC04,SKU0018,67,28,44,2.31,2025-10-30
DC04,SKU0019,58,14,32,6.48,2025-10-20
DC04,SKU0020,59,21,29,12.27,2025-09-07
DC04,SKU0021,56,26,35,11.63,2025-12-06
DC04,SKU0022,63,28,21,11.45,2025-10-04
DC04,SKU0023,52,29,35,2.04,2025-09-27
DC04,SKU0024,56,13,53,12.75,2025-10-05
DC04,SKU0025,47,26,23,12.57,2025-09-23
DC04,SKU0026,52,27,66,6.95,2025-12-13
DC04,SKU0027,59,25,25,7.95,2025-10-04
DC04,SKU0028,57,16,28,11.17,2025-09-06
DC04,SKU0029,68,16,68,8.45,2025-10-04
DC04,SKU0030,68,18,30,6.77,2025-09-02
DC04,SKU0031,58,27,51,1.53,2025-09-28
DC04,SKU0032,50,10,64,14.09,2025-09-10
DC04,SKU0033,67,19,69,14.27,2025-12-18
DC04,SKU0034,67,23,23,3.67,2025-12-16
DC04,SKU0035,53,29,64,13.53,2025-09-01
DC04,SKU0036,61,15,25,11.74,2025-12-07
DC04,SKU0037,50,12,68,3.63,2025-10-31
DC04,SKU0038,52,14,29,2.27,2025-12-08
DC04,SKU0039,54,11,20,10.92,2025-10-20
DC04,SKU0040,61,24,28,2.39,2025-11-02
DC04,SKU0041,70,29,63,2.5,2025-09-16
DC04,SKU0042,55,17,28,12.76,2025-09-20
DC04,SKU0043,79,29,40,4.18,2025-09-14
DC04,SKU0044,50,16,38,9.6,2025-12-14
DC04,SKU0045,66,26,27,7.06,2025-12-29
DC04,SKU0046,71,18,63,5.06,2025-10-22
DC04,SKU0047,63,14,28,6.52,2025-11-04
DC04,SKU0048,71,10,44,6.81,2025-09-16
DC04,SKU0049,65,26,50,7.83,2025-10-20
DC04,SKU0050,56,12,60,6.79,2025-12-05
DC04,SKU0051,51,19,52,11.93,2025-10-20
DC04,SKU0052,59,19,30,6.62,2025-11-09
DC04,SKU0053,63,28,38,10.99,2025-12-29
DC04,SKU0054,55,11,63,9.84,2025-11-15
DC04,SKU0055,67,27,60,8.5,2025-10-12
DC04,SKU0056,45,15,38,11.42,2025-12-09
DC04,SKU0057,38,12,43,12.18,2025-12-24
DC04,SKU0058,64,29,66,6.32,2025-12-17
DC04,SKU0059,56,22,20,9.77,2025-11-22
DC04,SKU0060,66,22,23,1.15,2025-11-25
DC04,SKU0061,53,19,36,4.57,2025-12-17
DC04,SKU0062,62,19,30,11.73,2025-11-11
DC04,SKU0063,62,18,46,13.71,2025-10-28
DC04,SKU0064,65,15,63,8.75,2025-12-02
DC04,SKU0065,66,17,65,5.28,2025-09-27
DC04,SKU0066,56,26,48,1.42,2025-09-11
DC04,SKU0067,51,24,43,11.04,2025-09-14
DC04,SKU0068,48,15,69,14.98,2025-10-03
DC04,SKU0069,66,14,67,6.09,2025-12-19
DC04,SKU0070,54,19,65,10.8,2025-09-16
DC04,SKU0071,67,18,64,7.29,2025-09-16
DC04,SKU0072,52,12,55,14.74,2025-11-03
DC04,SKU0073,66,26,51,11.82,2025-11-21
DC04,SKU0074,70,17,48,4.82,2025-12-29
DC04,SKU0075,72,24,49,8.73,2025-10-06
DC04,SKU0076,77,26,35,6.61,2025-12-12
DC04,SKU0077,56,21,23,1.98,2025-11-26
DC04,SKU0078,55,22,46,2.64,2025-10-23
DC04,SKU0079,59,29,43,12.02,2025-10-06
DC04,SKU0080,73,23,43,12.02,2025-09-03
DC05,SKU0001,68,24,31,3.09,2025-09-06
DC05,SKU0002,50,26,22,4.53,2025-12-05
DC05,SKU0003,52,29,49,14.35,2025-10-03
DC05,SKU0004,63,22,31,7.07,2025-12-05
DC05,SKU0005,57,24,62,14.86,2025-12-25
DC05,SKU0006,54,25,51,7.19,2025-11-08
DC05,SKU0007,70,17,30,14.91,2025-09-20
DC05,SKU0008,69,28,27,11.58,2025-09-23
DC05,SKU0009,66,29,25,13.72,2025-11-05
DC05,SKU0010,57,28,36,6.78,2025-11-03
DC05,SKU0011,64,25,52,1.46,2025-12-10
DC05,SKU0012,51,20,53,4.26,2025-10-04
DC05,SKU0013,46,24,45,10.04,2025-11-28
DC05,SKU0014,51,24,31,2.5,2025-10-23
DC05,SKU0015,67,21,67,7.49,2025-11-30
DC05,SKU0016,58,11,23,3.98,2025-09-25
DC05,SKU0017,58,18,25,9.66,2025-10-28
DC05,SKU0018,60,24,67,14.55,2025-10-26
DC05,SKU0019,63,16,20,11.99,2025-09-29
DC05,SKU0020,75,27,27,5.08,2025-09-13
DC05,SKU0021,67,11,39,10.41,2025-10-24
DC05,SKU0022,58,17,27,5.86,2025-09-12
DC05,SKU0023,51,22,48,10.92,2025-12-21
DC05,SKU0024,52,29,26,5.42,2025-11-07
DC05,SKU0025,61,14,48,7.67,2025-09-15
DC05,SKU0026,52,18,67,3.49,2025-09-12
DC05,SKU0027,63,10,49,10.98,2025-09-27
DC05,SKU0028,52,11,58,9.4,2025-11-26
DC05,SKU0029,67,19,55,8.28,2025-09-21
DC05,SKU0030,53,21,58,1.47,2025-10-30
DC05,SKU0031,65,23,31,7.76,2025-11-01
DC05,SKU0032,51,14,49,1.47,2025-10-14
DC05,SKU0033,62,14,52,10.14,2025-11-09
DC05,SKU0034,56,24,54,4.77,2025-12-17
DC05,SKU0035,45,24,36,3.06,2025-09-05
DC05,SKU0036,68,26,50,4.39,2025-10-21
DC05,SKU0037,64,15,61,6.01,2025-10-20
DC05,SKU0038,57,18,28,5.38,2025-09-24
DC05,SKU0039,56,16,60,11.94,2025-12-07
DC05,SKU0040,53,28,21,5.08,2025-11-05
DC05,SKU0041,55,12,39,3.97,2025-12-03
DC05,SKU0042,60,20,31,9.85,2025-10-17
DC05,SKU0043,64,12,60,13.76,2025-12-24
DC05,SKU0044,68,27,23,12.26,2025-09-14
DC05,SKU0045,46,24,31,1.42,2025-11-09
DC05,SKU0046,56,22,47,13.06,2025-09-24
DC05,SKU0047,54,15,44,7.49,2025-10-18
DC05,SKU0048,53,27,49,3.3,2025-09-17
DC05,SKU0049,76,25,41,11.6,2025-11-19
DC05,SKU0050,60,18,21,1.23,2025-11-13
DC05,SKU0051,74,29,36,7.75,2025-10-14
DC05,SKU0052,63,16,20,12.12,2025-10-06
DC05,SKU0053,61,11,58,5.89,2025-11-26
DC05,SKU0054,78,23,50,13.27,2025-11-05
DC05,SKU0055,59,27,67,11.08,2025-12-08
DC05,SKU0056,70,11,27,13.25,2025-12-29
DC05,SKU0057,71,25,40,7.91,2025-12-09
DC05,SKU0058,55,11,25,8.32,2025-11-16
DC05,SKU0059,67,19,58,7.09,2025-10-09
DC05,SKU0060,58,23,65,9.3,2025-09-10
DC05,SKU0061,61,24,34,6.31,2025-11-02
DC05,SKU0062,48,14,50,3.02,2025-11-07
DC05,SKU0063,70,19,64,7.41,2025-09-06
DC05,SKU0064,69,16,34,9.66,2025-12-02
DC05,SKU0065,51,12,51,3.94,2025-11-20
DC05,SKU0066,64,24,52,1.83,2025-12-03
DC05,SKU0067,70,16,38,9.16,2025-11-06
DC05,SKU0068,66,12,39,3.42,2025-09-11
DC05,SKU0069,49,27,35,6.94,2025-09-08
DC05,SKU0070,54,19,35,4.46,2025-09-08
DC05,SKU0071,58,25,55,3.86,2025-09-21
DC05,SKU0072,72,28,33,6.45,2025-10-10
DC05,SKU0073,57,12,39,3.6,2025-10-23
DC05,SKU0074,60,24,28,7.51,2025-09-14
DC05,SKU0075,58,26,21,13.69,2025-10-30
DC05,SKU0076,57,13,68,2.27,2025-09-21
DC05,SKU0077,54,12,45,9.87,2025-12-28
DC05,SKU0078,59,27,29,4.6,2025-11-02
DC05,SKU0079,60,28,24,8.47,2025-09-17
DC05,SKU0080,55,25,54,7.82,2025-09-16
BR001,SKU0001,47,18,20,12.14,2025-09-23
BR001,SKU0002,54,29,22,4.85,2025-11-30
BR001,SKU0003,70,22,48,3.04,2025-11-21
BR001,SKU0004,54,16,33,14.63,2025-11-04
BR001,SKU0005,60,17,28,8.88,2025-12-01
BR001,SKU0006,50,21,34,8.54,2025-11-26
BR001,SKU0007,54,12,54,10.6,2025-12-29
BR001,SKU0008,65,22,52,3.43,2025-11-13
BR001,SKU0009,53,26,38,5.49,2025-10-05
BR001,SKU0010,63,28,34,14.01,2025-09-07
BR001,SKU0011,65,28,51,12.87,2025-11-09
BR001,SKU0012,64,25,67,13.28,2025-09-26
BR001,SKU0013,63,14,69,1.53,2025-10-02
BR001,SKU0014,57,11,37,13.28,2025-09-23
BR001,SKU0015,59,24,59,4.86,2025-10-18
BR001,SKU0016,56,16,32,12.41,2025-09-19
BR001,SKU0017,68,28,65,1.8,2025-10-26
BR001,SKU0018,66,23,29,5.08,2025-12-18
BR001,SKU0019,52,23,51,9.94,2025-12-22
BR001,SKU0020,65,10,37,8.6,2025-12-08
BR001,SKU0021,54,16,33,5.1,2025-11-07
BR001,SKU0022,69,29,35,11.38,2025-12-16
BR001,SKU0023,59,11,67,11.31,2025-09-03
BR001,SKU0024,76,19,49,6.37,2025-10-22
BR001,SKU0025,68,16,51,2.53,2025-11-25
BR001,SKU0026,47,27,66,5.24,2025-09-11
BR001,SKU0027,65,16,43,14.1,2025-09-01
BR001,SKU0028,68,14,24,2.59,2025-10-26
BR001,SKU0029,63,24,67,8.5,2025-10-21
BR001,SKU0030,62,14,29,2.75,2025-11-21
BR001,SKU0031,68,28,69,4.53,2025-09-18
BR001,SKU0032,66,14,51,7.69,2025-09-17
BR001,SKU0033,59,26,30,6.02,2025-10-03
BR001,SKU0034,63,23,64,6.92,2025-10-11
BR001,SKU0035,51,26,40,2.91,2025-09-07
BR001,SKU0036,72,18,34,7.88,2025-11-10
BR001,SKU0037,49,17,51,2.4,2025-09-16
BR001,SKU0038,56,18,49,8.38,2025-09-22
BR001,SKU0039,60,27,44,2.3,2025-09-13
BR001,SKU0040,61,23,58,2.52,2025-12-17
BR001,SKU0041,51,26,58,2.97,2025-12-21
BR001,SKU0042,61,26,46,13.81,2025-09-30
BR001,SKU0043,75,28,39,4.45,2025-09-09
BR001,SKU0044,59,21,37,9.56,2025-09-09
BR001,SKU0045,70,12,26,5.16,2025-12-11
BR001,SKU0046,65,28,57,5.63,2025-09-22
BR001,SKU0047,58,10,31,1.71,2025-12-05
BR001,SKU0048,60,28,32,12.97,2025-10-16
BR001,SKU0049,61,20,63,2.6,2025-12-27
BR001,SKU0050,64,22,38,9.94,2025-09-20
BR001,SKU0051,60,20,36,6.37,2025-09-13
BR001,SKU0052,41,24,26,13.62,2025-09-16
BR001,SKU0053,56,19,56,8.39,2025-10-01
BR001,SKU0054,55,12,38,1.36,2025-09-05
BR001,SKU0055,57,13,35,8.04,2025-12-19
BR001,SKU0056,52,24,54,4.0,2025-11-16
BR001,SKU0057,55,19,43,9.63,2025-11-10
BR001,SKU0058,50,15,61,11.65,2025-12-12
BR001,SKU0059,51,28,40,5.62,2025-12-13
BR001,SKU0060,59,12,68,6.05,2025-09-24
BR001,SKU0061,49,28,34,6.7,2025-12-08
BR001,SKU0062,50,20,50,9.49,2025-12-27
BR001,SKU0063,62,14,61,1.98,2025-10-16
BR001,SKU0064,53,21,42,7.13,2025-11-20
BR001,SKU0065,68,24,26,7.12,2025-11-18
BR001,SKU0066,49,26,24,12.59,2025-09-15
BR001,SKU0067,68,29,49,4.34,2025-12-05
BR001,SKU0068,55,23,35,2.17,2025-12-26
BR001,SKU0069,61,17,62,10.24,2025-11-29
BR001,SKU0070,62,11,57,3.28,2025-11-27
BR001,SKU0071,61,15,56,5.06,2025-10-30
BR001,SKU0072,58,11,55,12.85,2025-11-28
BR001,SKU0073,60,10,40,5.87,2025-12-10
BR001,SKU0074,70,27,46,12.52,2025-12-15
BR001,SKU0075,63,19,59,7.47,2025-10-09
BR001,SKU0076,48,14,63,11.99,2025-11-17
BR001,SKU0077,66,21,32,10.14,2025-10-15
BR001,SKU0078,68,29,42,11.43,2025-11-17
BR001,SKU0079,62,23,58,14.32,2025-09-04
BR001,SKU0080,63,17,52,2.76,2025-11-26
BR002,SKU0001,64,21,57,11.76,2025-10-15
BR002,SKU0002,57,19,64,11.4,2025-10-29
BR002,SKU0003,60,16,36,13.43,2025-09-16
BR002,SKU0004,63,26,53,9.34,2025-12-21
BR002,SKU0005,52,13,39,3.08,2025-11-22
BR002,SKU0006,60,21,32,5.37,2025-09-30
BR002,SKU0007,66,22,62,7.24,2025-12-02
BR002,SKU0008,61,21,35,6.68,2025-11-01
BR002,SKU0009,58,10,29,2.59,2025-09-23
BR002,SKU0010,61,25,48,3.58,2025-10-09
BR002,SKU0011,54,29,20,4.02,2025-09-27
BR002,SKU0012,60,29,62,2.18,2025-09-07
BR002,SKU0013,60,13,63,11.93,2025-09-20
BR002,SKU0014,57,10,46,10.33,2025-11-10
BR002,SKU0015,64,25,48,13.15,2025-12-17
BR002,SKU0016,64,22,48,3.45,2025-11-16
BR002,SKU0017,57,15,48,2.71,2025-12-23
BR002,SKU0018,61,14,58,4.3,2025-11-27
BR002,SKU0019,52,16,39,1.71,2025-12-06
BR002,SKU0020,55,27,67,8.09,2025-11-26
BR002,SKU0021,56,15,53,11.96,2025-11-12
BR002,SKU0022,61,29,32,8.59,2025-12-19
BR002,SKU0023,62,22,35,13.66,2025-09-10
BR002,SKU0024,56,13,61,8.96,2025-12-10
BR002,SKU0025,48,16,59,2.7,2025-12-29
BR002,SKU0026,57,19,35,12.22,2025-10-02
BR002,SKU0027,52,17,62,1.4,2025-09-11
BR002,SKU0028,67,14,28,2.4,2025-10-20
BR002,SKU0029,59,19,51,5.44,2025-12-25
BR002,SKU0030,55,23,59,5.0,2025-11-16
BR002,SKU0031,55,21,42,3.49,2025-09-23
BR002,SKU0032,80,20,53,4.35,2025-09-27
BR002,SKU0033,66,23,34,8.82,2025-11-05
BR002,SKU0034,45,23,58,7.94,2025-10-13
BR002,SKU0035,79,22,32,10.78,2025-10-27
